Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µF","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",122.557108,-88.700000,90.000000,top
"C2","0.1µF","CP_Radial_Tantal_D5.0mm_P2.50mm",116.107108,-90.205112,90.000000,top
"U1","74LS74","SO-14_5.3x10.2mm_P1.27mm",84.807108,-23.612500,90.000000,top
"U2","74LS74","SO-14_5.3x10.2mm_P1.27mm",119.117108,-48.962500,90.000000,top
"U3","74LS10","SO-14_5.3x10.2mm_P1.27mm",119.117108,-23.562500,90.000000,top
"U4","74LS30","SO-14_5.3x10.2mm_P1.27mm",84.817108,-76.312500,90.000000,top
"U5","74LS393","SOIC-16_3.9x9.9mm_P1.27mm",118.952108,-35.575000,90.000000,top
"U6","74LS151","SOIC-16W_5.3x10.2mm_P1.27mm",84.902108,-62.600000,90.000000,top
"U7","74LS151","SOIC-16W_5.3x10.2mm_P1.27mm",84.902108,-48.800000,90.000000,top
"U8","74LS151","SOIC-16W_5.3x10.2mm_P1.27mm",102.022108,-62.600000,90.000000,top
"U9","74LS151","SOIC-16W_5.3x10.2mm_P1.27mm",101.945000,-48.800000,90.000000,top
"U10","74LS151","SOIC-16W_5.3x10.2mm_P1.27mm",101.952108,-36.450000,90.000000,top
"U11","74LS151","SOIC-16W_5.3x10.2mm_P1.27mm",101.952108,-23.400000,90.000000,top
"U12","74LS393","SOIC-16_3.9x9.9mm_P1.27mm",84.662108,-35.625000,90.000000,top
"U13","74LS74","SO-14_5.3x10.2mm_P1.27mm",119.117108,-76.312500,90.000000,top
"U14","74LS08","SO-14_5.3x10.2mm_P1.27mm",119.117108,-62.762500,90.000000,top
"U15","74LS04","SO-14_3.9x8.65mm_P1.27mm",101.467108,-89.325000,90.000000,top
"U16","74LS86","SO-14_3.9x8.65mm_P1.27mm",84.017108,-89.325000,90.000000,top
"U17","74LS174","SO-16_3.9x9.9mm_P1.27mm",102.007108,-75.150000,90.000000,top
"U18","HEADER_1~20","PinHeader_1~20_P1.27mm_Vertical",94.338000,-55.188000,0.000000,top
"U19","HEADER_21~40","PinHeader_21~40_P1.27mm_Vertical",109.552600,-55.492800,0.000000,top
